Time;     A1;     A2;     A3
0;9,97;-0,37;0,23
0,000308547;9,97;-0,37;0,26
0,000617093;9,97;-0,37;0,29
0,00092564;10;-0,37;0,34
0,001234187;9,97;-0,37;0,34
0,001542734;10;-0,4;0,37
0,00185128;10,06;-0,37;0,34
0,002159827;10,03;-0,4;0,37
0,002468374;9,97;-0,37;0,32
0,002776921;9,97;-0,37;0,26
0,003085467;10;-0,4;0,23
0,003394014;10,03;-0,37;0,23
0,003702561;9,97;-0,37;0,2
0,004011108;9,92;-0,37;0,2
0,004319654;9,97;-0,37;0,2
0,004628201;10;-0,37;0,26
0,004936748;9,97;-0,37;0,29
0,005245295;9,97;-0,37;0,34
0,005553841;9,97;-0,37;0,32
0,005862388;10;-0,37;0,34
0,006170935;9,97;-0,37;0,37
0,006479482;10;-0,4;0,37
0,006788028;10,03;-0,4;0,32
0,007096575;10,06;-0,37;0,34
0,007405122;9,97;-0,4;0,29
0,007713669;10;-0,37;0,26
0,008022215;10,03;-0,34;0,23
0,008330762;9,94;-0,4;0,2
0,008639309;9,97;-0,37;0,26
0,008947856;10,03;-0,34;0,29
0,009256402;9,97;-0,37;0,26
0,009564949;9,97;-0,37;0,29
0,009873496;10;-0,34;0,32
0,010182043;9,97;-0,37;0,32
0,010490589;10;-0,37;0,37
0,010799136;10,03;-0,4;0,37
0,011107683;10,03;-0,37;0,34
0,01141623;10;-0,4;0,32
0,011724776;9,97;-0,37;0,32
0,012033323;10;-0,37;0,32
0,01234187;9,97;-0,34;0,29
0,012650417;10;-0,37;0,26
0,012958963;10;-0,34;0,23
0,01326751;9,94;-0,34;0,23
0,013576057;9,97;-0,34;0,23
0,013884604;9,97;-0,37;0,23
0,01419315;9,97;-0,34;0,23
0,014501697;9,97;-0,37;0,29
0,014810244;10;-0,37;0,32
0,01511879;10,03;-0,4;0,32
0,015427337;10,06;-0,37;0,37
0,015735884;9,97;-0,4;0,34
0,016044431;9,97;-0,37;0,34
0,016352977;10,03;-0,37;0,29
0,016661524;10;-0,34;0,26
0,016970071;10,03;-0,4;0,32
0,017278618;9,97;-0,37;0,29
0,017587164;9,97;-0,34;0,23
0,017895711;9,97;-0,34;0,23
0,018204258;9,94;-0,4;0,26
0,018512805;10;-0,34;0,23
0,018821351;9,97;-0,37;0,23
0,019129898;10;-0,37;0,26
0,019438445;10,03;-0,37;0,32
0,019746992;10;-0,34;0,34
0,020055538;9,97;-0,37;0,34
0,020364085;10;-0,37;0,37
0,020672632;10,03;-0,37;0,29
0,020981179;9,97;-0,34;0,29
0,021289725;10;-0,37;0,34
0,021598272;10,06;-0,4;0,29
0,021906819;10;-0,37;0,26
0,022215366;9,97;-0,34;0,23
0,022523912;9,97;-0,37;0,23
0,022832459;10;-0,34;0,23
0,023141006;10,03;-0,34;0,23
0,023449553;9,97;-0,34;0,26
0,023758099;10,03;-0,37;0,29
0,024066646;10,06;-0,37;0,34
0,024375193;9,97;-0,4;0,32
0,02468374;10,03;-0,37;0,32
0,024992286;10,06;-0,4;0,32
0,025300833;9,97;-0,4;0,32
0,02560938;9,97;-0,37;0,32
0,025917927;9,97;-0,4;0,34
0,026226473;9,97;-0,37;0,29
0,02653502;10;-0,37;0,26
0,026843567;9,97;-0,34;0,23
0,027152114;9,97;-0,37;0,23
0,02746066;9,97;-0,34;0,26
0,027769207;9,97;-0,37;0,23
0,028077754;9,92;-0,34;0,26
0,028386301;10;-0,34;0,29
0,028694847;10,06;-0,4;0,29
0,029003394;10;-0,4;0,29
0,029311941;9,97;-0,34;0,37
0,029620488;10;-0,37;0,34
0,029929034;10,03;-0,4;0,34
0,030237581;10,06;-0,37;0,34
0,030546128;10,03;-0,4;0,34
0,030854674;9,97;-0,4;0,32
0,031163221;9,97;-0,34;0,26
0,031471768;9,97;-0,37;0,23
0,031780315;9,97;-0,37;0,26
0,032088861;10;-0,34;0,2
0,032397408;9,94;-0,34;0,23
0,032705955;10;-0,37;0,2
0,033014502;10,03;-0,34;0,23
0,033323048;10;-0,4;0,29
0,033631595;9,97;-0,4;0,32
0,033940142;10;-0,4;0,37
0,034248689;9,97;-0,37;0,37
0,034557235;10,06;-0,37;0,37
0,034865782;10,03;-0,37;0,34
0,035174329;10;-0,37;0,32
0,035482876;10,06;-0,34;0,32
0,035791422;9,97;-0,37;0,29
0,036099969;9,97;-0,37;0,26
0,036408516;10,03;-0,37;0,23
0,036717063;9,92;-0,34;0,2
0,037025609;9,94;-0,37;0,2
0,037334156;10,06;-0,4;0,23
0,037642703;9,94;-0,34;0,26
0,03795125;9,92;-0,37;0,29
0,038259796;10,06;-0,37;0,34
0,038568343;10,03;-0,37;0,34
0,03887689;9,97;-0,4;0,34
0,039185437;10;-0,37;0,37
0,039493983;9,97;-0,37;0,34
0,03980253;9,97;-0,4;0,32
0,040111077;10,03;-0,37;0,32
0,040419624;9,97;-0,34;0,29
0,04072817;9,97;-0,4;0,26
0,041036717;10;-0,37;0,29
0,041345264;9,97;-0,34;0,23
0,041653811;9,97;-0,37;0,2
0,041962357;9,97;-0,34;0,23
0,042270904;9,94;-0,37;0,26
0,042579451;10,03;-0,37;0,29
0,042887998;10,06;-0,37;0,32
0,043196544;9,97;-0,37;0,29
0,043505091;10;-0,37;0,34
0,043813638;10,03;-0,37;0,34
0,044122185;9,94;-0,37;0,34
0,044430731;9,97;-0,4;0,32
